dateTime,unixTime,lux
2018-02-13 18:44:01.941430,1518515041.9414246,0.0
2018-02-13 18:49:01.941425,1518515341.9414246,10.29456482516993
2018-02-13 18:54:01.941425,1518515641.9414246,17.344702429948576
2018-02-13 18:59:01.941425,1518515941.9414246,34.027773662097
2018-02-13 19:04:01.941425,1518516241.9414246,37.15026250761877
2018-02-13 19:09:01.941425,1518516541.9414246,59.30470793724032
2018-02-13 19:14:01.941425,1518516841.9414246,52.74787905427313
2018-02-13 19:19:01.941425,1518517141.9414246,86.74681259362399
2018-02-13 19:24:01.941425,1518517441.9414246,84.52148301538983
2018-02-13 19:29:01.941425,1518517741.9414246,109.53901138650835
2018-02-13 19:34:01.941425,1518518041.9414246,115.27329130834197
2018-02-13 19:39:01.941425,1518518341.9414246,96.9661313136598
2018-02-13 19:44:01.941425,1518518641.9414246,136.6941505484871
2018-02-13 19:49:01.941425,1518518941.9414246,129.22179920333627
2018-02-13 19:54:01.941425,1518519241.9414246,140.4907597066758
2018-02-13 19:59:01.941425,1518519541.9414246,173.07661086634275
2018-02-13 20:04:01.941425,1518519841.9414246,167.03486853677123
2018-02-13 20:09:01.941425,1518520141.9414246,208.09401734063178
2018-02-13 20:14:01.941425,1518520441.9414246,194.82288343637765
2018-02-13 20:19:01.941425,1518520741.9414246,221.90933280098326
2018-02-13 20:24:01.941425,1518521041.9414246,182.5360444634298
2018-02-13 20:29:01.941425,1518521341.9414246,225.37930188329435
2018-02-13 20:34:01.941425,1518521641.9414246,256.46400978292206
2018-02-13 20:39:01.941425,1518521941.9414246,248.98265683636694
2018-02-13 20:44:01.941425,1518522241.9414246,253.38905715777867
2018-02-13 20:49:01.941425,1518522541.9414246,223.64466620593578
2018-02-13 20:54:01.941425,1518522841.9414246,218.3027723749182
2018-02-13 20:59:01.941425,1518523141.9414246,275.10143506468654
2018-02-13 21:04:01.941425,1518523441.9414246,255.1355660145195
2018-02-13 21:09:01.941425,1518523741.9414246,239.22240456311468
2018-02-13 21:14:01.941425,1518524041.9414246,293.0558578772847
2018-02-13 21:19:01.941425,1518524341.9414246,368.8751491570633
2018-02-13 21:24:01.941425,1518524641.9414246,346.0638837262513
2018-02-13 21:29:01.941425,1518524941.9414246,387.92671940940596
2018-02-13 21:34:01.941425,1518525241.9414246,283.31309678885657
2018-02-13 21:39:01.941425,1518525541.9414246,326.1404920430378
2018-02-13 21:44:01.941425,1518525841.9414246,401.7358591014997
2018-02-13 21:49:01.941425,1518526141.9414246,303.3751376248534
2018-02-13 21:54:01.941425,1518526441.9414246,442.38928499672664
2018-02-13 21:59:01.941425,1518526741.9414246,411.0822531489164
2018-02-13 22:04:01.941425,1518527041.9414246,423.2768335289886
2018-02-13 22:09:01.941425,1518527341.9414246,349.53247295299775
2018-02-13 22:14:01.941425,1518527641.9414246,416.9008237022168
2018-02-13 22:19:01.941425,1518527941.9414246,479.7472975615373
2018-02-13 22:24:01.941425,1518528241.9414246,488.9470014026842
2018-02-13 22:29:01.941425,1518528541.9414246,439.5166377008819
2018-02-13 22:34:01.941425,1518528841.9414246,444.83074171731175
2018-02-13 22:39:01.941425,1518529141.9414246,459.43877185004806
2018-02-13 22:44:01.941425,1518529441.9414246,406.68447721891255
2018-02-13 22:49:01.941425,1518529741.9414246,397.3544773448254
2018-02-13 22:54:01.941425,1518530041.9414246,451.248423529493
2018-02-13 22:59:01.941425,1518530341.9414246,549.4207659854577
2018-02-13 23:04:01.941425,1518530641.9414246,551.029690963135
2018-02-13 23:09:01.941425,1518530941.9414246,414.5401988431039
2018-02-13 23:14:01.941425,1518531241.9414246,491.3148307678001
2018-02-13 23:19:01.941425,1518531541.9414246,463.0459001545885
2018-02-13 23:24:01.941425,1518531841.9414246,443.29682837000905
2018-02-13 23:29:01.941425,1518532141.9414246,576.0628494099866
2018-02-13 23:34:01.941425,1518532441.9414246,472.72465714952733
2018-02-13 23:39:01.941425,1518532741.9414246,444.11227551019914
2018-02-13 23:44:01.941425,1518533041.9414246,588.7766139184108
2018-02-13 23:49:01.941425,1518533341.9414246,572.6711037634542
2018-02-13 23:54:01.941425,1518533641.9414246,478.0397199792864
2018-02-13 23:59:01.941425,1518533941.9414246,540.2711370877216
2018-02-14 00:04:01.941425,1518534241.9414246,605.5957905023861
2018-02-14 00:09:01.941425,1518534541.9414246,565.554952610309
2018-02-14 00:14:01.941425,1518534841.9414246,501.5270307941398
2018-02-14 00:19:01.941425,1518535141.9414246,535.7121952166962
2018-02-14 00:24:01.941425,1518535441.9414246,468.7130554535293
2018-02-14 00:29:01.941425,1518535741.9414246,561.0077662383318
2018-02-14 00:34:01.941425,1518536041.9414246,547.7284955371189
2018-02-14 00:39:01.941425,1518536341.9414246,545.8531167162986
2018-02-14 00:44:01.941425,1518536641.9414246,472.06143519501273
2018-02-14 00:49:01.941425,1518536941.9414246,615.7883645118327
2018-02-14 00:54:01.941425,1518537241.9414246,593.181530444568
2018-02-14 00:59:01.941425,1518537541.9414246,481.8774749852312
2018-02-14 01:04:01.941425,1518537841.9414246,567.988626052229
2018-02-14 01:09:01.941425,1518538141.9414246,481.2645980148928
2018-02-14 01:14:01.941425,1518538441.9414246,638.3412966152397
2018-02-14 01:19:01.941425,1518538741.9414246,701.9218258302361
2018-02-14 01:24:01.941425,1518539041.9414246,525.0533632620386
2018-02-14 01:29:01.941425,1518539341.9414246,477.9582089092863
2018-02-14 01:34:01.941425,1518539641.9414246,566.228621783697
